City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Sao Filipe,CV,5/22/2021 23:01,14.8961,-24.4956,73.27,81,7,8.48
71,Isangel,VU,5/22/2021 23:01,-19.55,169.2667,75.34,68,48,10.47
72,Letlhakane,BW,5/22/2021 23:01,-21.4167,25.5833,56.59,76,0,13.33
73,Khatanga,RU,5/22/2021 22:57,71.9667,102.5,28.49,91,100,4.68
74,Zamora,EC,5/22/2021 23:01,-4.0692,-78.9567,70.47,97,61,1.7
75,Dikson,RU,5/22/2021 22:58,73.5069,80.5464,33.94,98,100,17.87
76,Norman Wells,CA,5/22/2021 22:57,65.282,-126.8329,62.64,39,90,11.5
77,Eenhana,NA,5/22/2021 23:01,-17.4667,16.3333,59.85,41,3,7.81
78,Yablonovo,RU,5/22/2021 23:01,50.8523,37.3574,55.26,75,40,6.82
79,Luba,GQ,5/22/2021 23:01,3.4568,8.5547,78.67,80,99,3.71
80,Duluth,US,5/22/2021 23:01,46.7833,-92.1066,82.08,61,90,5.75
81,Novorudnyy,RU,5/22/2021 23:01,51.5026,58.1873,65.59,40,53,5.06
82,Aykhal,RU,5/22/2021 23:00,66,111.5,33.66,79,98,4.79
83,Lompoc,US,5/22/2021 22:59,34.6391,-120.4579,73.78,67,1,20
84,Yar-Sale,RU,5/22/2021 23:01,66.8333,70.8333,54.88,74,83,11.05
85,Tual,ID,5/22/2021 23:00,-5.6667,132.75,81.37,79,98,17.31
86,Puerto Ayora,EC,5/22/2021 22:57,-0.7393,-90.3518,84.16,85,68,5.99
87,La Rioja,ES,5/22/2021 23:02,42.25,-2.5,45.05,82,100,0.81
88,Hobyo,SO,5/22/2021 23:02,5.3505,48.5268,78.82,81,29,22.88
89,Imbituba,BR,5/22/2021 23:02,-28.24,-48.6703,65.95,94,49,4.85
90,Kloulklubed,PW,5/22/2021 23:02,7.0419,134.2556,83.08,70,84,5.77
91,Mogadishu,SO,5/22/2021 23:02,2.0371,45.3438,78.19,84,16,22.32
92,Havoysund,NO,5/22/2021 23:02,70.9963,24.6622,32.88,57,100,13.73
93,Agadir,MA,5/22/2021 23:02,30.4202,-9.5982,70.25,59,28,1.74
94,Chapais,CA,5/22/2021 23:02,49.7834,-74.8492,53.38,86,100,9.28
95,Korla,CN,5/22/2021 23:02,41.7597,86.1469,61.57,30,0,6.46
96,Hope,US,5/22/2021 23:00,33.6671,-93.5916,80.24,59,93,5.03
97,Kodiak,US,5/22/2021 23:02,57.79,-152.4072,47.82,74,51,5.48
98,Qaanaaq,GL,5/22/2021 23:02,77.484,-69.3632,27.12,79,100,2.44
99,Yatou,CN,5/22/2021 23:02,37.15,122.3833,64.11,72,100,13
100,Charlestown,AU,5/22/2021 23:02,-32.95,151.6667,61.81,88,36,5.37
101,Saint George,US,5/22/2021 22:57,37.1041,-113.5841,70.27,16,99,7
102,Canon City,US,5/22/2021 23:02,38.441,-105.2424,66.04,56,1,11.99
103,Rio Gallegos,AR,5/22/2021 22:57,-51.6226,-69.2181,41.05,100,75,4.61
104,Mendoza,AR,5/22/2021 22:57,-32.8908,-68.8272,53.13,58,0,2.3
105,Busselton,AU,5/22/2021 23:02,-33.65,115.3333,45.05,72,91,7.14
106,Georgetown,MY,5/22/2021 22:58,5.4112,100.3354,79.9,87,20,1.99
107,Mirnyy,RU,5/22/2021 23:02,62.5353,113.9611,45.91,50,54,3.36
108,Darhan,MN,5/22/2021 23:02,49.4867,105.9228,42.26,43,99,7.54
109,Kushima,JP,5/22/2021 23:02,31.4583,131.2333,69.67,64,3,1.12
110,Shitkino,RU,5/22/2021 23:02,56.3703,98.3543,40.32,75,56,3.2
111,Kodinsk,RU,5/22/2021 23:02,58.6881,99.1844,43.54,54,98,2.17
112,Vila Velha,BR,5/22/2021 23:02,-20.3297,-40.2925,76.95,77,37,7
113,Namatanai,PG,5/22/2021 23:02,-3.6667,152.4333,82.49,79,99,1.59
114,Lebu,CL,5/22/2021 23:02,-37.6167,-73.65,51.35,90,11,7.99
115,Piacabucu,BR,5/22/2021 22:58,-10.4056,-36.4344,75.85,84,23,7.63
116,Severnoye,RU,5/22/2021 23:02,56.3491,78.3619,58.69,72,6,7.09
117,Klaksvik,FO,5/22/2021 23:02,62.2266,-6.589,43.72,77,24,5.44
118,Cochabamba,BO,5/22/2021 22:57,-17.3895,-66.1568,67.75,28,20,11.5
119,Faanui,PF,5/22/2021 23:02,-16.4833,-151.75,81.34,69,11,12.15
120,Alexandria,EG,5/22/2021 23:02,31.2156,29.9553,68.67,63,0,16.11
121,San Andres,CO,5/22/2021 23:02,12.5847,-81.7006,81.75,81,100,19.55
122,Conde,BR,5/22/2021 23:02,-7.2597,-34.9075,72.86,83,1,8.03
123,Taltal,CL,5/22/2021 22:57,-25.4,-70.4833,63.54,66,44,6.02
