City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
535,Tabou,CI,80.78,scattered clouds,4.423,-7.3528,hotêl doufoulougou
545,Port-Gentil,GA,80.4,light rain,-0.7193,8.7815,Fengshui Residence
550,Sandusky,US,84.87,broken clouds,41.3501,-83.1332,Great Lakes Motel Fremont
551,Labuan,MY,77.16,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
554,Valera,VE,81.14,overcast clouds,9.3178,-70.6036,Hotel Camino Real
559,Port Hedland,AU,75.25,light rain,-20.3167,118.5667,The Esplanade Hotel
562,Aquiraz,BR,82.49,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
569,Cap-Haitien,HT,80.1,scattered clouds,19.7578,-72.2042,Habitation Jouissant
571,Pandan,PH,80.82,broken clouds,14.0453,124.1694,Bonifacio Lodge
578,Iranshahr,IR,89.37,few clouds,27.2025,60.6848,پلکه بزرگ
584,Shreveport,US,82.42,scattered clouds,32.5251,-93.7502,Eldorado Resort Casino Shreveport
585,Kui Buri,TH,85.98,overcast clouds,12.0828,99.8543,Rista House & Resort
586,Nanakuli,US,85.03,clear sky,21.3906,-158.1547,Camp Pālehua
593,Carepa,CO,78.67,overcast clouds,7.7585,-76.6525,HOTEL EL EDÉN
600,Mazagao,BR,86.05,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
604,Pleasanton,US,87.15,clear sky,37.6624,-121.8747,Four Points by Sheraton Pleasanton
608,Onverwacht,SR,78.85,broken clouds,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
609,Anloga,GH,82.33,scattered clouds,5.7947,0.8973,Pin Drop Hotel
613,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
616,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
617,Bhum,IN,82.94,overcast clouds,18.4667,75.6667,धनंजय होम
619,Fallon,US,77.41,broken clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
623,Yantzaza,EC,75.92,light rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
626,Sorong,ID,80.15,overcast clouds,-0.8833,131.25,waigo splash hotel
628,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
629,Mill Valley,US,87.12,scattered clouds,37.906,-122.545,Best Western Corte Madera Inn
630,Eureka,US,77.74,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
632,Phaltan,IN,79.21,broken clouds,17.9833,74.4333,Hotel New Vijay
633,Porto Novo,BJ,80.83,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
635,Shiloh,US,87.53,overcast clouds,38.5614,-89.8973,Hilton Garden Inn St. Louis Shiloh/O’Fallon IL
639,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
648,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
649,Maragogi,BR,76.42,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
650,Manaus,BR,86.5,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
653,West Bay,KY,85.05,few clouds,19.3667,-81.4167,Calypso Cove
654,Freetown,SL,81.18,scattered clouds,8.484,-13.2299,The Country Lodge Hotel
655,Meulaboh,ID,76.87,broken clouds,4.1363,96.1285,Kost Pria
659,Buluan,PH,75.7,light rain,6.7203,124.8019,ARMROS Nature Farm
669,Ullal,IN,79.75,scattered clouds,12.8,74.85,AK INTERNATIONAL LODGE
680,Manavalakurichi,IN,84.29,overcast clouds,8.1333,77.3,Udaya Boys Hostel
685,Asyut,EG,80.22,clear sky,27.181,31.1837,Florence Hotel Assiut
688,Albion,US,84.16,broken clouds,42.2431,-84.753,Days Inn by Wyndham Albion
689,Lakatoro,VU,76.44,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
