City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Esperance,AU,-33.8667,121.9,57.36,61,100,20.04,light rain
110,Constitucion,CL,-35.3333,-72.4167,56.66,82,7,10.83,clear sky
111,Kamaishi,JP,39.2667,141.8833,59.65,90,100,4.56,overcast clouds
112,Kloulklubed,PW,7.0419,134.2556,77.5,73,100,4.21,overcast clouds
113,Sitka,US,57.0531,-135.33,48.09,76,90,8.05,light rain
114,Souris,CA,49.6172,-100.2612,70.74,44,33,17.16,scattered clouds
115,Saskylakh,RU,71.9167,114.0833,38.23,90,5,4.52,clear sky
116,Soyo,AO,-6.1349,12.3689,79.45,87,40,6.76,scattered clouds
117,Goderich,CA,43.7501,-81.7165,75.2,66,96,3.36,overcast clouds
118,Tuatapere,NZ,-46.1333,167.6833,38.77,77,10,4,clear sky
119,Ban Nahin,LA,18.2418,104.2122,75.83,97,100,2.39,moderate rain
120,Sur,OM,22.5667,59.5289,89.22,48,0,13.94,clear sky
121,East London,ZA,-33.0153,27.9116,76.01,36,100,10.47,overcast clouds
122,Xiongyue,CN,40.1774,122.1228,54.95,77,33,7.02,scattered clouds
123,Imbituba,BR,-28.24,-48.6703,58.89,63,0,3.56,clear sky
124,Malakal,SS,9.5334,31.6605,80.73,67,97,6.6,overcast clouds
125,Nevers,FR,46.9167,3.3333,43.39,74,5,12.12,clear sky
126,Akureyri,IS,65.6835,-18.0878,39.7,92,83,3.42,broken clouds
127,La Palma,US,33.8464,-118.0467,99.95,37,1,9.22,clear sky
128,Cabo San Lucas,MX,22.8909,-109.9124,92.8,61,1,6.91,clear sky
129,Kholm-Zhirkovskiy,RU,55.5189,33.4731,44.53,90,5,5.41,clear sky
130,Busselton,AU,-33.65,115.3333,48.09,71,100,4.14,overcast clouds
131,Nuuk,GL,64.1835,-51.7216,27.88,92,100,13,light snow
132,Ambulu,ID,-8.345,113.6058,75.04,91,94,3,overcast clouds
133,Rawson,AR,-43.3002,-65.1023,54.54,37,0,26.78,clear sky
134,Imuris,MX,30.7833,-110.8667,88.29,5,0,13.78,clear sky
135,Fairbanks,US,64.8378,-147.7164,68.34,31,1,4.61,clear sky
136,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,76,100,4.76,overcast clouds
137,Altinopolis,BR,-21.0256,-47.3739,58.35,33,97,3.11,overcast clouds
138,Severnyy,RU,50.677,36.5532,53.64,94,40,6.71,scattered clouds
139,Hannibal,US,39.7084,-91.3585,84.92,44,90,10.36,overcast clouds
140,Ambilobe,MG,-13.2,49.05,71.1,84,99,2.89,overcast clouds
141,Lamu,KE,-2.2717,40.902,78.62,78,20,18.77,few clouds
142,Stutterheim,ZA,-32.5708,27.424,61.77,39,94,8.55,overcast clouds
143,Shimoda,JP,34.6667,138.95,69.17,80,96,4.59,overcast clouds
144,Howard Springs,AU,-12.497,131.047,73.31,87,92,5.84,overcast clouds
145,Buraydah,SA,26.326,43.975,84.99,21,1,7.78,clear sky
146,Wad Rawah,SD,15.1603,33.1397,91.74,10,3,8.59,clear sky
147,Vardo,NO,70.3705,31.1107,30.4,67,4,5.37,clear sky
148,Tupik,RU,54.4253,119.9327,34.48,100,100,4.25,light rain
149,Asau,RO,46.4333,26.4,54.95,86,86,2.8,overcast clouds
150,Vila Velha,BR,-20.3297,-40.2925,80.96,81,75,7,broken clouds
151,Xai-Xai,MZ,-25.0519,33.6442,61.92,65,0,5.35,clear sky
152,Atambua,ID,-9.1061,124.8925,69.85,87,9,4.56,clear sky
153,Leshukonskoye,RU,64.8989,45.7622,38.97,92,100,7.52,overcast clouds
154,Poum,NC,-20.2333,164.0167,73.36,57,15,19.46,few clouds
155,Yerbogachen,RU,61.2767,108.0108,44.46,47,95,4.16,overcast clouds
156,Henties Bay,NA,-22.116,14.2845,72.86,62,16,7.09,few clouds
157,Vaitape,PF,-16.5167,-151.75,81.52,74,97,12.39,overcast clouds
158,Margate,GB,51.3813,1.3862,49.03,75,56,1.99,light rain
159,Antanifotsy,MG,-19.65,47.3167,50.45,95,58,3.53,broken clouds
160,Paoua,CF,7.2427,16.4406,76.51,56,33,4.36,scattered clouds
161,Evinayong,GQ,1.4368,10.5512,69.3,99,90,1.54,overcast clouds
162,Maarianhamina,AX,60.0973,19.9348,37.26,100,0,2.3,clear sky
163,Avera,US,33.194,-82.5271,92.08,37,27,2.59,scattered clouds
164,Svetlogorsk,BY,52.6333,29.7333,49.14,84,25,3.98,scattered clouds
165,Norman Wells,CA,65.282,-126.8329,54.97,41,92,5.03,overcast clouds
166,Fort Frances,CA,48.5999,-93.4003,83.16,47,1,5.01,clear sky
167,Muravlenko,RU,63.7898,74.523,40.68,52,100,8.93,overcast clouds
168,Pisco,PE,-13.7,-76.2167,68.05,73,75,16.11,broken clouds
169,Qaanaaq,GL,77.484,-69.3632,32.52,75,5,6.62,clear sky
170,Westport,US,41.1415,-73.3579,66.9,51,1,1.01,clear sky
171,Codrington,AU,-38.2667,141.9667,66.18,44,100,23.2,overcast clouds
172,Frontera,MX,26.9333,-101.45,95.95,30,12,7.09,few clouds
173,Boyuibe,BO,-20.4167,-63.2833,58.03,50,80,4.65,broken clouds
174,Ritchie,ZA,-29.038,24.6028,56.98,47,41,7.38,scattered clouds
175,Ribeira Grande,PT,38.5167,-28.7,62.92,73,100,18.48,overcast clouds
176,Bitkine,TD,11.9801,18.2138,89.38,11,7,6.87,clear sky
177,Bandarbeyla,SO,9.4942,50.8122,82.58,66,1,16.35,clear sky
178,Vuktyl,RU,63.8567,57.3094,52.56,89,100,8.43,overcast clouds
179,Canon City,US,38.441,-105.2424,80.29,13,1,4,clear sky
180,Bengkulu,ID,-3.8004,102.2655,76.05,90,97,3.51,overcast clouds
181,Beitbridge,ZW,-22.2167,30,59.99,61,0,6.38,clear sky
182,Lata,PT,40.1629,-8.3327,57.81,89,5,3.33,clear sky
183,Saint George,US,37.1041,-113.5841,84.34,15,1,1.99,clear sky
184,Guerrero Negro,MX,27.9769,-114.0611,75.81,44,1,13.13,clear sky
185,Swan Hill,AU,-35.3378,143.5544,62.01,49,100,20.6,overcast clouds
186,Broken Hill,AU,-31.95,141.4333,62.04,44,26,26.55,scattered clouds
187,Viedma,AR,-40.8135,-62.9967,56.86,58,64,19.19,broken clouds
188,Ipixuna,BR,-1.7625,-48.8043,84.15,88,97,3.89,overcast clouds
189,Bathsheba,BB,13.2167,-59.5167,83.01,74,75,18.79,broken clouds
190,Wichian Buri,TH,15.6578,101.106,78.51,87,100,4.81,light rain
191,Dabaca,RO,46.9833,23.6667,58.35,84,100,6.62,overcast clouds
192,Marawi,PH,7.9986,124.2928,68.65,92,80,1.21,broken clouds
193,Solnechnyy,RU,50.7214,136.6319,39.51,97,100,4.29,moderate rain
194,Morondava,MG,-20.2833,44.2833,68.94,84,1,5.77,clear sky
195,Robertson,US,36.5167,-86.8667,89.58,44,1,4.61,clear sky
196,Bethel,US,41.3712,-73.414,67.48,50,1,8.05,clear sky
197,Voyvozh,RU,62.892,54.9635,48.87,92,47,8.23,scattered clouds
198,Padang,ID,-0.9492,100.3543,77.36,87,85,3.56,overcast clouds
199,Mountain Home,US,43.133,-115.6912,65.68,45,90,12.59,overcast clouds
200,Lososina,RU,48.9975,140.3106,43.83,98,100,7.81,heavy intensity rain
201,Edson,CA,53.5835,-116.4356,48.6,95,100,6.67,moderate rain
202,Nanortalik,GL,60.1432,-45.2371,35.42,97,100,4.45,moderate rain
203,Dabwali,IN,29.95,74.7333,87.46,25,0,3.62,clear sky
204,Tabuk,PH,17.4189,121.4443,75.72,86,4,1.28,clear sky
205,Sawtell,AU,-30.3833,153.1,60.19,94,90,4.61,overcast clouds
206,Mar Del Plata,AR,-38.0023,-57.5575,59.13,50,2,10,clear sky
207,Jiayuguan,CN,39.8167,98.3,57.97,16,100,4.54,overcast clouds
208,Tutoia,BR,-2.7619,-42.2744,80.35,86,93,8.21,overcast clouds
209,Portland,US,45.5234,-122.6762,62.58,87,90,4,overcast clouds
210,Vernon,CA,50.2581,-119.2691,68.13,61,100,8.01,overcast clouds
211,Constantine,DZ,36.365,6.6147,54.48,89,1,3.8,clear sky
212,Severo-Kurilsk,RU,50.6789,156.125,41.31,71,100,14.29,overcast clouds
213,Ocampo,MX,21.65,-101.5,85.28,22,45,10.27,scattered clouds
214,Grand Forks,US,47.9417,-97.4337,82.33,21,1,18.41,clear sky
215,Mount Gambier,AU,-37.8333,140.7667,64.31,52,75,20.71,light rain
216,Touros,BR,-5.1989,-35.4608,77.9,79,100,13.09,overcast clouds
217,Wenling,CN,28.3669,121.36,64.9,88,93,3.62,overcast clouds
218,Mahajanga,MG,-15.7167,46.3167,71.62,94,40,4.61,light rain
219,Amapa,BR,1,-52,73.96,98,98,3.04,overcast clouds
220,Ponta Do Sol,PT,32.6667,-17.1,68.72,80,47,5.55,scattered clouds
221,Ust-Karsk,RU,52.7011,118.8077,38.91,99,100,3.15,light rain
222,Berlevag,NO,70.8578,29.0864,39.2,64,79,3.8,broken clouds
223,Maroua,CM,10.591,14.3159,91.54,10,10,6.06,clear sky
224,Iracoubo,GF,5.4802,-53.2011,76.15,97,100,7.18,heavy intensity rain
225,Amga,RU,60.8953,131.9608,46.13,65,99,12.1,overcast clouds
226,Bagotville,AU,-28.9833,153.4167,59.02,76,74,3.6,broken clouds
227,Berea,US,41.3662,-81.8543,83.28,61,40,5.75,scattered clouds
228,Tarauaca,BR,-8.1614,-70.7656,72.1,92,99,4.25,overcast clouds
229,Ornskoldsvik,SE,63.2909,18.7153,41.95,86,75,6.06,broken clouds
230,Lasa,IT,46.6166,10.7002,48.94,100,100,0.29,overcast clouds
231,Pasighat,IN,28.0667,95.3333,75.47,95,75,3.89,broken clouds
232,Gravelbourg,CA,49.8834,-106.5512,53.19,64,100,24.14,overcast clouds
233,Manacapuru,BR,-3.2997,-60.6206,86.58,71,67,3.18,broken clouds
234,Newcastleton,GB,55.1796,-2.8127,47.73,98,100,3.8,overcast clouds
235,Jinji,CN,23.2281,110.8261,72.75,83,92,2.37,light rain
236,Acajutla,SV,13.5928,-89.8275,88.81,64,78,5.57,broken clouds
237,Dryden,CA,49.7833,-92.7503,73.38,56,83,9.22,broken clouds
238,Labuhan,ID,-6.8844,112.2051,76.89,90,33,6.26,scattered clouds
239,Yarmouth,US,41.7057,-70.2286,62.58,49,1,7,clear sky
240,Waingapu,ID,-9.6567,120.2641,73.96,86,42,4.81,scattered clouds
241,Port Elizabeth,ZA,-33.918,25.5701,65.1,71,100,8.59,overcast clouds
242,Cockburn Town,TC,21.4612,-71.1419,79.32,77,15,19.51,few clouds
243,Nouadhibou,MR,20.931,-17.0347,65.48,84,0,26.08,clear sky
244,Bambous Virieux,MU,-20.3428,57.7575,69.22,76,25,14.52,scattered clouds
245,Hualmay,PE,-11.0964,-77.6139,65.98,83,30,7.54,scattered clouds
246,Adrar,MR,20.5022,-10.0711,92.16,16,43,11.92,scattered clouds
247,Belmonte,BR,-15.8631,-38.8828,77.5,78,93,10.94,overcast clouds
248,Aswan,EG,24.0934,32.907,83.61,14,0,10.25,clear sky
249,Meinerzhagen,DE,51.1167,7.65,48.42,94,69,9.64,broken clouds
250,Champerico,GT,14.3,-91.9167,86.76,64,92,8.39,overcast clouds
251,Palauig,PH,15.435,119.9045,80.92,71,26,4.18,scattered clouds
252,Ati,TD,13.2154,18.3353,86.86,9,84,10.29,broken clouds
253,Coquimbo,CL,-29.9533,-71.3436,56.93,67,0,3.96,clear sky
254,Winnemucca,US,40.973,-117.7357,71.65,24,40,13.53,scattered clouds
255,Pierre,US,44.3683,-100.351,81.52,57,1,11.99,clear sky
256,Aksarka,RU,66.5606,67.7975,35.11,57,100,6.69,overcast clouds
257,Port Lincoln,AU,-34.7333,135.8667,57.33,65,52,28.25,broken clouds
258,Benavente,ES,42.0025,-5.6783,48.31,77,14,9.42,few clouds
259,Hasaki,JP,35.7333,140.8333,65.17,77,18,5.53,few clouds
260,Callaway,US,30.153,-85.5699,84.97,57,1,5.01,clear sky
261,Senanga,ZM,-16.1167,23.2667,57.36,56,0,5.84,clear sky
262,Abu Samrah,SY,35.3029,37.1841,68.81,53,0,7.74,clear sky
263,Santa Lucia,ES,27.9117,-15.5407,59.76,76,20,16.96,few clouds
264,Camacha,PT,33.0833,-16.3333,63.82,72,75,11.5,broken clouds
265,Ostrovnoy,RU,68.0531,39.5131,33.24,73,97,14.56,overcast clouds
266,Aksu,CN,41.1231,80.2644,67.6,22,100,5.99,overcast clouds
267,Kitimat,CA,54.0524,-128.6534,59.92,54,91,1.99,overcast clouds
268,Caravelas,BR,-17.7125,-39.2481,77,81,84,10.87,broken clouds
269,Falun,SE,60.6036,15.626,44.65,96,93,2.33,overcast clouds
270,Pangai,TO,-19.8,-174.35,76.08,80,55,2.64,broken clouds
271,Ahipara,NZ,-35.1667,173.1667,58.75,67,100,13.76,overcast clouds
272,Karratha,AU,-20.7377,116.8463,68.79,40,79,15.7,broken clouds
273,Verkhoyansk,RU,67.5447,133.385,53.38,28,19,3.42,few clouds
274,Yumen,CN,40.2833,97.2,57.88,16,100,3.8,overcast clouds
275,Mogadishu,SO,2.0371,45.3438,78.89,81,25,17.85,scattered clouds
276,Nome,US,64.5011,-165.4064,61.11,33,1,17.27,clear sky
277,Lac Du Bonnet,CA,50.2536,-96.0612,80.58,47,3,12.62,clear sky
278,Vostok,RU,46.4856,135.8833,46.78,84,83,1.77,light rain
279,Seoul,KR,37.5683,126.9778,54.97,82,90,6.64,overcast clouds
280,Keti Bandar,PK,24.1447,67.4497,83.23,77,6,16.06,clear sky
281,Dikson,RU,73.5069,80.5464,21.06,93,30,5.64,scattered clouds
282,Lagoa,PT,39.05,-27.9833,61.83,71,100,13.2,overcast clouds
283,Sakakah,SA,29.9697,40.2064,75.87,26,0,8.52,clear sky
284,Iqaluit,CA,63.7506,-68.5145,22.69,53,40,8.99,scattered clouds
285,Tual,ID,-5.6667,132.75,82.4,78,100,18.25,overcast clouds
286,Ancud,CL,-41.8697,-73.8203,48.22,72,83,9.82,broken clouds
287,Taldan,RU,53.6667,124.8,40.28,94,100,8.81,overcast clouds
288,La Asuncion,VE,11.0333,-63.8628,79.68,78,33,20.38,scattered clouds
289,Kwinana,AU,-32.25,115.7667,50.34,87,95,6.33,overcast clouds
290,Alto Araguaia,BR,-17.3147,-53.2153,71.44,67,83,5.06,broken clouds
291,Dawlatabad,AF,36.4141,64.9053,76.23,13,47,1.99,scattered clouds
292,Kupang,ID,-10.1667,123.5833,73.98,83,20,5.75,few clouds
293,College,US,64.8569,-147.8028,68.32,30,20,3.44,few clouds
294,Lafiagi,NG,8.8667,5.4167,84,61,21,4.65,few clouds
295,Tecoanapa,MX,16.5167,-98.75,88.72,56,9,14.05,clear sky
296,Neryungri,RU,56.6709,124.6491,35.83,99,100,1.1,overcast clouds
297,Kardla,EE,58.9978,22.7492,50.05,95,29,4.5,scattered clouds
298,Luanda,AO,-8.8368,13.2343,78.8,89,75,9.22,broken clouds
299,Klaksvik,FO,62.2266,-6.589,45.52,90,61,14.14,broken clouds
300,Lodwar,KE,3.1191,35.5973,85.51,46,60,6.04,broken clouds
301,Savannah Bight,HN,16.45,-85.85,81.75,81,17,22.95,few clouds
302,Gizo,SB,-8.103,156.8419,82.17,79,88,17.16,light rain
303,Geraldton,AU,-28.7667,114.6,52.21,66,80,10.71,broken clouds
304,Parintins,BR,-2.6283,-56.7358,80.49,78,97,1.03,overcast clouds
305,Salina Cruz,MX,16.1667,-95.2,96.12,44,84,10.56,broken clouds
306,Prince Rupert,CA,54.3161,-130.3201,53.76,67,59,5.88,broken clouds
307,Antofagasta,CL,-23.65,-70.4,58.28,74,99,5.59,overcast clouds
308,Gat,IL,31.61,34.7642,70.48,72,0,2.37,clear sky
309,Sorland,NO,67.667,12.6934,43.05,74,28,14.65,scattered clouds
310,Razole,IN,16.4833,81.8333,85.01,46,100,6.24,overcast clouds
311,Oudtshoorn,ZA,-33.5907,22.2014,63.19,48,100,1.5,overcast clouds
312,Santa Rosa,PH,14.3122,121.1114,82.9,84,16,2.57,few clouds
313,Zelenoborskiy,RU,66.845,32.3622,36.48,70,99,6.24,overcast clouds
314,Kavaratti,IN,10.5669,72.642,83.8,75,96,13.65,overcast clouds
315,Lavrentiya,RU,65.5833,-171,35.44,83,93,14.09,overcast clouds
316,Colesberg,ZA,-30.72,25.0972,53.96,48,91,5.32,overcast clouds
317,Parabel,RU,58.6978,81.4825,51.51,75,95,4.38,overcast clouds
318,Kununurra,AU,-15.7667,128.7333,64.38,100,20,2.3,few clouds
319,Shitanjing,CN,39.2342,106.3439,53.92,22,52,8.5,broken clouds
320,Harper,LR,4.375,-7.7169,80.51,83,61,9.22,broken clouds
321,Ulladulla,AU,-35.35,150.4667,53.87,87,100,6.8,overcast clouds
322,Ahuimanu,US,21.4447,-157.8378,84.78,74,40,8.05,scattered clouds
323,Athabasca,CA,54.7169,-113.2854,53.91,71,100,22.08,light rain
324,High River,CA,50.5834,-113.8687,51.46,83,100,19.06,overcast clouds
325,Pitiquito,MX,30.7,-112.0833,93.18,5,0,11.74,clear sky
326,Acapulco,MX,16.8634,-99.8901,89.42,53,1,12.41,clear sky
327,Faanui,PF,-16.4833,-151.75,81.48,74,96,12.37,overcast clouds
328,Pangnirtung,CA,66.1451,-65.7125,23.11,84,98,4.83,overcast clouds
329,Oranjestad,AW,12.524,-70.027,84.15,76,40,4,scattered clouds
330,Havelock,US,34.8791,-76.9013,79.02,91,98,4,overcast clouds
331,Biltine,TD,14.5333,20.9167,82.8,6,36,8.72,scattered clouds
332,Papetoai,PF,-17.4961,-149.8729,83.79,75,91,12.62,overcast clouds
333,Mizdah,LY,31.4451,12.9801,81.77,23,65,3.56,broken clouds
334,Kudahuvadhoo,MV,2.6708,72.8944,83.5,75,90,19.57,overcast clouds
335,Kutum,SD,14.2,24.6667,78.35,14,46,6.69,scattered clouds
336,Pacific Grove,US,36.6177,-121.9166,87.15,78,1,5.99,clear sky
337,Burnie,AU,-41.0667,145.9167,56.95,93,98,9.78,overcast clouds
338,Ler,SS,8.3018,30.1418,74.61,84,100,2.8,light rain
339,Olinda,BR,-8.0089,-34.8553,78.53,74,40,10.38,scattered clouds
340,Katherine,AU,-14.4667,132.2667,66.52,93,99,4.14,overcast clouds
341,Yar-Sale,RU,66.8333,70.8333,32.22,62,77,4.83,broken clouds
342,Kungurtug,RU,50.5994,97.5228,40.66,91,100,4.29,overcast clouds
343,Nabire,ID,-3.3667,135.4833,77.14,87,95,3.76,overcast clouds
344,Roma,US,43.2128,-75.4557,74.89,38,1,3.44,clear sky
345,Ozernovskiy,RU,51.5,156.5167,42.37,69,89,4.21,overcast clouds
346,Vanimo,PG,-2.6741,141.3028,79.52,86,97,3.11,overcast clouds
347,Hambantota,LK,6.1241,81.1185,80.8,85,100,22.1,overcast clouds
348,Mareeba,AU,-17,145.4333,67.44,95,91,3.8,overcast clouds
349,Leeton,AU,-34.5667,146.4,54.23,75,93,13.69,overcast clouds
350,Teguise,ES,29.0605,-13.564,62.82,82,20,27.25,few clouds
351,Pecos,US,31.4229,-103.4932,91.81,22,1,14.97,clear sky
352,Korla,CN,41.7597,86.1469,68.23,21,75,0.38,broken clouds
353,Wagar,SD,16.1525,36.2032,93.42,22,18,4.29,few clouds
354,Neuquen,AR,-38.9516,-68.0591,59.32,48,80,25.46,broken clouds
355,Leningradskiy,RU,69.3833,178.4167,33.28,90,100,10.49,overcast clouds
356,Brookhaven,US,31.5791,-90.4407,86.95,66,100,0.45,overcast clouds
357,Bordei Verde,RO,45.0833,27.5667,59.22,68,44,6.44,scattered clouds
358,Deputatskiy,RU,69.3,139.9,40.5,60,13,3.91,few clouds
359,Nizhnyaya Tavda,RU,57.6731,66.1725,66.31,58,98,6.53,overcast clouds
360,Merritt Island,US,28.5392,-80.672,88.99,57,1,5.99,clear sky
361,Big Rapids,US,43.6981,-85.4837,82.9,69,75,5.75,broken clouds
362,Lannion,FR,48.75,-3.4167,49.98,76,75,16.11,broken clouds
363,Ranong,TH,9.9658,98.6348,79.74,86,100,12.08,overcast clouds
364,Saint Anthony,US,45.0205,-93.218,87.82,42,1,3,clear sky
365,Bressuire,FR,46.9167,-0.5,48.38,82,2,13.13,clear sky
366,Ukiah,US,39.1502,-123.2078,88.03,31,1,8.05,clear sky
367,Ishigaki,JP,24.3448,124.1572,80.85,81,31,5.08,scattered clouds
